,prdtypecode
0,1
1,228
2,5
3,128
4,2705
5,228
6,1
7,2522
8,128
9,2582
10,156
11,156
12,1281
13,192
14,156
15,2522
16,2403
17,2522
18,114
19,228
20,2583
21,128
22,118
23,114
24,13
25,2462
26,128
27,2522
28,228
29,116
30,206
31,4
32,156
33,2522
34,4
35,206
36,206
37,1281
38,192
39,2583
40,6
41,118
42,2522
43,1281
44,228
45,192
46,1
47,4
48,116
49,128
50,4
51,2403
52,1281
53,2583
54,2403
55,128
56,2705
57,2403
58,2583
59,13
60,128
61,2403
62,132
63,13
64,2583
65,2583
66,114
67,206
68,228
69,2403
70,2583
71,2462
72,114
73,2582
74,2403
75,228
76,1302
77,206
78,156
79,1302
80,5
81,13
82,222
83,206
84,2583
85,156
86,2462
87,156
88,128
89,2522
90,2583
91,2583
92,192
93,128
94,2522
95,156
96,2403
97,2522
98,114
99,206
100,2582
101,4
102,228
103,192
104,13
105,13
106,118
107,4
108,2583
109,116
110,114
111,2705
112,228
113,2403
114,1302
115,116
116,2583
117,2583
118,2583
119,156
120,1302
121,206
122,2403
123,206
124,132
125,1302
126,114
127,228
128,128
129,228
130,2583
131,1
132,156
133,156
134,13
135,1281
136,128
137,228
138,132
139,2583
140,13
141,2705
142,4
143,132
144,2705
145,2583
146,13
147,128
148,2905
149,2522
150,2705
151,128
152,2583
153,13
154,118
155,116
156,2403
157,192
158,156
159,2522
160,114
161,2403
162,2585
163,5
164,2705
165,5
166,228
167,2583
168,206
169,228
170,156
171,2583
172,128
173,228
174,2583
175,206
176,2585
177,192
178,2583
179,116
180,6
181,13
182,156
183,206
184,2583
185,1302
186,228
187,206
188,1
189,2403
190,206
191,132
192,2403
193,2403
194,156
195,4
196,114
197,2705
198,2522
199,13
200,194
201,2583
202,128
203,194
204,4
205,192
206,2583
207,5
208,2583
209,128
210,2522
211,5
212,206
213,206
214,128
215,128
216,206
217,2705
218,2583
219,13
220,156
221,2705
222,228
223,156
224,2583
225,116
226,192
227,13
228,116
229,1281
230,132
231,2522
232,228
233,228
234,2583
235,13
236,2403
237,13
238,2462
239,192
240,116
241,2583
242,2583
243,2522
244,2705
245,132
246,1302
247,1
248,2583
249,2582
250,192
251,156
252,4
253,192
254,2522
255,2403
256,192
257,1301
258,1
259,1
260,206
261,192
262,2705
263,156
264,2583
265,2583
266,2582
267,13
268,192
269,1302
270,6
271,156
272,2585
273,156
274,13
275,2585
276,114
277,13
278,2522
279,1281
280,128
281,2582
282,4
283,2403
284,2522
285,228
286,2403
287,2905
288,116
289,1301
290,132
291,2403
292,114
293,13
294,1302
295,1302
296,2583
297,2522
298,2403
299,6
300,1
301,2582
302,2582
303,156
304,114
305,156
306,1281
307,192
308,2522
309,192
310,116
311,206
312,2583
313,2522
314,132
315,13
316,2583
317,2583
318,228
319,2583
320,222
321,132
322,2705
323,206
324,2462
325,228
326,2583
327,128
328,2583
329,132
330,1281
331,128
332,4
333,128
334,13
335,1
336,156
337,206
338,222
339,2585
340,206
341,5
342,2582
343,2583
344,2583
345,206
346,4
347,114
348,13
349,128
350,192
351,13
352,2585
353,2403
354,222
355,222
356,1281
357,2583
358,13
359,2522
360,13
361,128
362,114
363,2705
364,114
365,2522
366,2462
367,1281
368,192
369,2522
370,114
371,1302
372,1
373,228
374,2403
375,6
376,192
377,156
378,2583
379,192
380,228
381,13
382,132
383,132
384,2583
385,2403
386,1
387,156
388,2522
389,2462
390,114
391,1
392,2403
393,13
394,132
395,128
396,114
397,2522
398,2582
399,13
400,1281
401,206
402,13
403,1
404,1281
405,2582
406,194
407,2582
408,114
409,114
410,13
411,206
412,156
413,2585
414,228
415,5
416,2403
417,2403
418,114
419,1302
420,192
421,4
422,4
423,2522
424,5
425,156
426,2583
427,13
428,116
429,2585
430,2585
431,222
432,1
433,5
434,156
435,228
436,228
437,156
438,228
439,128
440,2403
441,1281
442,194
443,116
444,156
445,13
446,192
447,116
448,2522
449,2462
450,132
451,192
452,156
453,1302
454,13
455,228
456,2582
457,2705
458,2403
459,1281
460,1
461,206
462,206
463,206
464,228
465,2403
466,13
467,13
468,2585
469,192
470,2585
471,206
472,2583
473,156
474,114
475,2583
476,4
477,1
478,2583
479,128
480,2705
481,5
482,114
483,4
484,128
485,114
486,5
487,2582
488,222
489,2522
490,228
491,5
492,2585
493,2582
494,2582
495,128
496,13
497,2582
498,2583
499,228
500,2583
501,1281
502,13
503,2522
504,2583
505,156
506,4
507,5
508,2583
509,2585
510,2583
511,228
512,2403
513,1
514,2705
515,2705
516,13
517,228
518,228
519,228
520,192
521,2403
522,2583
523,2585
524,118
525,2705
526,206
527,156
528,2705
529,5
530,6
531,128
532,156
533,2583
534,2583
535,228
536,2585
537,1281
538,1
539,228
540,156
541,2585
542,192
543,222
544,192
545,2582
546,2403
547,206
548,1302
549,2403
550,2705
551,2583
552,128
553,206
554,2705
555,5
556,4
557,4
558,2583
559,2522
560,132
561,2585
562,2403
563,1281
564,1302
565,2582
566,2583
567,128
568,116
569,2522
570,13
571,114
572,228
573,156
574,2583
575,2582
576,1302
577,13
578,2462
579,1302
580,1
581,2522
582,132
583,206
584,2705
585,1302
586,116
587,132
588,132
589,2462
590,2403
591,116
592,2403
593,2583
594,128
595,192
596,2462
597,156
598,128
599,2705
600,13
601,13
602,2585
603,2583
604,2705
605,2522
606,228
607,2583
608,156
609,128
610,2583
611,2905
612,128
613,1
614,206
615,132
616,2462
617,1302
618,228
619,156
620,2403
621,228
622,1
623,2583
624,1
625,2462
626,1302
627,156
628,2705
629,2585
630,13
631,132
632,228
633,156
634,2522
635,2583
636,114
637,128
638,2522
639,2403
640,13
641,206
642,2522
643,2522
644,116
645,156
646,116
647,2582
648,2583
649,2582
650,206
651,2522
652,192
653,2905
654,2403
655,2583
656,1
657,13
658,206
659,2583
660,2522
661,1281
662,1281
663,128
664,228
665,2585
666,118
667,116
668,1302
669,4
670,128
671,192
672,2905
673,1302
674,206
675,2403
676,2403
677,206
678,1281
679,5
680,2462
681,228
682,228
683,2522
684,2403
685,1
686,116
687,1302
688,156
689,1
690,156
691,2905
692,2583
693,1
694,6
695,2705
696,116
697,4
698,128
699,206
700,2585
701,2583
702,194
703,1
704,2522
705,2705
706,228
707,114
708,206
709,2585
710,132
711,2522
712,2583
713,2522
714,156
715,2583
716,1302
717,206
718,156
719,2583
720,2583
721,118
722,2583
723,2583
724,194
725,156
726,2522
727,4
728,132
729,1302
730,2583
731,132
732,156
733,1281
734,228
735,2403
736,13
737,2585
738,116
739,2403
740,2583
741,2583
742,2403
743,116
744,114
745,2905
746,2583
747,118
748,2522
749,2583
750,116
751,132
752,4
753,114
754,2403
755,13
756,128
757,2583
758,156
759,2585
760,13
761,2585
762,128
763,206
764,118
765,2462
766,228
767,206
768,156
769,156
770,2403
771,2522
772,13
773,228
774,2705
775,2585
776,5
777,2705
778,2585
779,13
780,206
781,2583
782,132
783,128
784,192
785,5
786,2522
787,2403
788,2522
789,2522
790,2583
791,13
792,206
793,2583
794,228
795,2403
796,13
797,2583
798,13
799,2905
800,2582
801,116
802,192
803,2403
804,1302
805,2585
806,2582
807,2583
808,2582
809,116
810,114
811,2583
812,2403
813,206
814,116
815,128
816,2582
817,2583
818,2583
819,1302
820,1302
821,13
822,228
823,128
824,206
825,2522
826,2583
827,2462
828,2582
829,4
830,206
831,116
832,2522
