,prdtypecode,words,words_count
0,0,,0
1,10,"volume, annee, ligne, coeur, louis, livres, philosophie, ancien, piano, secrets, révolution, cours, applications, suite, second, amour, revue, oeuvres, social, lettres, histoire, prix, children, saint, ville, journal, law, caritatives, voyage, design, business, siècle, recettes, etat, nouvelles, volumes, europe, ammareal, young, notes, caritativesltbrgt, traduit, maison, édition, one, sommaire, chemins, commentaire, illustrations, management, series, actes, mort, catalogue, couverture, time, guerre, pages, organisations, aventures, notebook, jean, livre, editeur, international, marcel, manuel, moderne, bibliothèque, love, art, tome, prince, net, homme, vol, pierre, education, part, musique, roman, sciences, science, guide, occasion, women, siecle, age, politique, monde, magazine, bibliothèques, associationsltbrgt, empire, fournis, droit, american, best, série, audio",100
2,40,"câble, ligne, mâle, pro, bluetooth, charge, manette, carte, signal, double, conçu, wii, moniteur, matériel, pcs, courant, version, collector, pack, jeux, rayures, image, écran, prise, set, stéréo, boîtier, meilleure, usb, pièces, joystick, entrée, sortie, ensemble, housse, port, cartes, manuelle, protection, support, spécification, jeu, game, métal, microsoft, nintendo, voiture, hautparleur, boutons, playstation, matériau, controller, dragon, conception, one, femelle, console, fil, kit, caoutchouc, installer, connecteur, portable, pièce, expérience, plastique, switch, téléphone, alimentation, dvd, xbox, gamepad, jack, tournevis, peau, silicone, différente, adaptateur, contrôleur, accessoires, forfait, vidéo, hdmi, sony, ball, commutateur, convient, batterie, compatible, contrôleurs, mobile, poignée, magideal, mini, installation, action, ordinateur, bouton, rca, audio",100
3,50,"sac, rapide, câble, souple, ligne, pro, bluetooth, charge, manette, main, carte, système, double, led, souris, vinyle, wii, intégré, matériel, android, clavier, pcs, autocollants, courant, jeux, rayures, écran, prise, contenu, charger, confortable, manettes, tension, usb, joystick, entrée, précision, sortie, housse, port, chargement, protection, support, design, spécification, jeu, poids, game, saleté, nintendo, station, boutons, playstation, casque, controller, facilement, unique, conception, one, amovible, console, fil, kit, interface, portable, switch, téléphone, coque, bracelet, alimentation, xbox, gamepad, silicone, appareil, adaptateur, contrôleur, accessoires, gaming, joycon, abs, slim, vidéo, hdmi, sony, chargeur, cable, autocollant, commutateur, batterie, compatible, mobile, mode, poignée, ergonomique, mini, installation, ordinateur, filaire, bouton, audio",100
4,60,"modèleretro, câble, multimédia, consoleyes, numéro, classique, tactileoui, charge, manette, intégrés, carte, système, double, wii, intégré, caméra, tactile, psp, version, affichage, joueurs, pack, construit, jeux, consoles, modèlex, model, écranother, écran, prise, package, usb, sortie, portables, famille, classiques, support, jeu, livraison, mémoire, game, nintendo, handheld, station, games, modèlegame, sega, gba, enfance, playstation, meilleur, drop, mario, players, one, cadeau, intégrée, écrantv, console, fil, enfants, lcd, modèlehandheld, portable, rétro, switch, machine, lecteur, communicationusb, builtin, enfant, xbox, product, gamepad, couleuroui, output, contrôleur, poche, slim, vidéo, battery, paquetoui, joueur, video, hdmi, sony, arcade, marquealloyseed, retro, nom, écranautre, modèlers, wifi, function, mode, marquenoennamenull, mini, ecran, screen, color",100
5,1140,"sac, statuette, poster, numéro, jouet, tailles, power, mug, main, carte, xxl, matière, version, stress, pack, bandai, série, model, boîtefenêtre, potter, spiderman, pop, set, hot, exclusive, gundam, figure, saint, star, serie, jouets, officielle, plomb, licence, cotoninformations, jeu, livraison, vinyl, game, métal, décor, importation, dark, dragon, mario, disponibles, nendoroid, one, window, pvc, porteclés, harry, boîte, force, articulée, imprimé, comics, anneaux, seiya, enfants, logo, series, wars, plastique, girl, ver, piece, shirt, statue, funko, céramique, figurine, disney, dimension, tintin, batman, accessoires, magnet, metal, individuel, box, figurines, échelle, marvel, mcdo, meal, ball, seigneur, porte, résine, peint, happy, tasse, boite, mini, article, action, rider, socle, délai",100
6,1160,"garbage, turbo, numéro, tcg, lune, power, main, cards, attaque, carte, ténèbres, durant, adversaire, premium, rare, monstre, full, mtg, soleil, recto, official, magic, fleer, holo, kamigawa, version, yugioh, pokémon, magie, mpfr, unco, set, champions, star, warcraft, feu, serie, cartes, trading, commander, ccg, choc, combat, game, monstres, football, terrain, face, kids, carddass, battle, match, dragon, édition, adrenalyn, energie, mint, common, force, dragons, league, wars, pail, atk, attax, guerre, tempête, card, panini, cimetière, contrôlez, bête, art, dbz, foot, ravnica, masters, evolutions, uncommon, part, position, lorsque, foil, bpfr, platine, ball, secret, seigneur, lumière, monde, topps, mirrodin, slam, vampire, pokemon, tour, effet, yeux, plasma, série",100
7,1180,"fêtes, dungeons, bluetooth, effrayant, masque, miniatures, main, carte, prop, rythme, led, distance, latex, magic, matériel, party, acrylique, jeux, sound, bois, image, écran, pâques, set, usb, star, air, port, adultes, cartes, pot, résolution, jeu, game, métal, games, supplément, bandeau, guerrier, dark, casque, dragon, donjons, horreur, différents, boîte, dragons, peinture, propos, fil, kit, tête, enfants, table, wars, plastique, cosplay, cheval, plupart, dispose, mascarade, alimentation, guerre, rôles, lecteur, partha, rave, figurine, enfant, danse, lettre, visage, partie, fusion, rôle, prince, accessoires, âge, space, costume, light, vidéo, figurines, luminosité, musique, lumière, age, batterie, monde, halloween, empire, chaos, mini, masques, heroclix, tactique, chambre, warhammer, yonis, audio",100
8,1280,"sac, jouet, pro, charge, main, led, conçu, distance, simulation, mavic, matière, caméra, matériel, quantité, pcs, stress, jeux, bois, puzzle, cadeaux, corps, roues, image, moteur, contenu, set, usb, pièces, air, ensemble, adultes, jouets, manuelle, contrôle, photo, eau, protection, xxcm, boue, piles, jeu, poids, environnement, construction, voiture, kids, maison, matériau, différents, conception, cadeau, boîte, ongles, tête, enfants, plastique, fun, mains, forme, animal, animaux, capacité, développer, drone, figurine, enfant, doll, doudou, décoration, poupées, peau, silicone, vol, accessoires, forfait, matériaux, anniversaire, vêtements, âge, abs, bébé, musique, noël, développement, lumière, vitesse, nom, convient, batterie, wifi, quadcopter, poupée, mode, baby, mini, article, bricolage, peluche, télécommande, yeux",100
9,1281,"parfumée, soulagement, jouet, main, cards, carte, clay, amusant, matière, magic, matériel, quantité, pcs, joueurs, stress, pack, party, jeux, bois, puzzle, cadeaux, image, contenu, tissu, artisanat, set, pièces, ensemble, adultes, voitures, cartes, jouets, eau, xxcm, boue, piles, plateau, jeu, poids, game, environnement, attention, voiture, games, putty, formation, maison, différents, players, one, cadeau, boîte, imagination, coordination, éducatif, peinture, propos, kit, projets, enfants, scolaires, apprentissage, plastique, fun, mains, time, forme, animal, animaux, capacité, développer, toxiques, enfant, card, coffret, décoration, société, éducatifs, forfait, anniversaire, âge, bébé, extension, musique, noël, développement, lumière, age, convient, batterie, monde, dés, nuage, poupée, mini, bricolage, peluche, yeux, play, arts",100
