,age,animaux,baby,billard,bébé,bébés,cadeau,cartoon,chaussettes,chaussures,coffret,conception,confortable,contenu,coton,design,disponible,dérapant,enfant,enfants,etiquette,fléchettes,foot,gardez,jeu,lumière,main,matériaux,matériel,mode,molle,noël,peau,petits,pied,pieds,plaît,porter,préfet,quotidien,recommandé,rendre,sentiment,sexe,slip,sol,table,âge,écran,étiquette,category_code
0,0,0,0,0,8,1,1,2,4,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,1,1,0,1,1,0,1,1,2,0,1,1,2,0,0,2,1,1,1301
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
2,0,1,0,0,8,1,1,2,6,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,1,0,0,1,0,1,1,1,2,0,1,1,2,2,0,2,0,1,1301
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1301
6,0,0,0,0,8,1,1,2,4,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,1,1,0,1,1,0,1,1,2,0,1,1,2,0,0,2,1,1,1301
7,0,2,0,0,3,2,1,0,3,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1301
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1301
9,0,0,0,0,7,1,1,0,4,0,1,0,1,1,2,1,1,0,0,2,0,0,0,1,0,1,1,2,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1,2,1301
10,0,1,0,0,5,0,0,0,7,0,0,1,0,0,3,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1301
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
12,0,0,0,0,2,0,0,1,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1301
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
16,0,0,0,0,4,0,0,2,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1301
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
18,0,0,0,0,8,2,1,0,6,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1301
19,4,0,0,0,9,0,1,2,6,0,1,0,1,1,1,1,1,1,0,0,4,0,0,1,0,0,1,2,0,0,1,0,1,0,0,1,0,1,1,1,5,1,1,1,1,1,0,1,0,1,1301
20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1301
21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1301
22,0,0,0,0,7,0,1,1,4,1,1,0,1,1,1,1,1,0,0,2,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,2,0,1,1,1,0,0,1,1,2,0,0,0,0,0,1301
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1301
26,0,0,0,0,4,0,0,0,5,0,0,0,3,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1301
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
28,0,0,0,0,4,2,0,3,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1301
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
30,0,1,0,0,3,0,0,3,3,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1301
31,0,0,0,0,9,0,1,2,6,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,2,2,0,0,1,0,1,1301
32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
33,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
36,0,0,0,0,8,0,1,2,6,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,2,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1301
37,0,0,0,0,6,0,1,0,3,0,0,1,0,0,3,0,0,0,2,2,0,0,0,0,0,1,2,1,1,3,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1301
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1301
41,0,2,0,0,6,2,1,2,4,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,2,0,0,1,0,1,2,0,1,1,1,1,1,0,1,1,1,2,0,0,0,1,2,1301
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
43,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
45,2,0,0,0,9,0,1,2,4,2,1,0,1,1,1,1,1,0,0,0,3,0,0,1,0,0,1,2,0,0,1,4,1,0,0,1,0,1,1,1,3,0,1,1,0,0,0,2,0,1,1301
46,0,0,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
48,1,1,0,0,6,0,0,0,7,0,0,1,0,0,3,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1301
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301
50,0,0,0,0,8,0,1,0,6,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,2,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,2,2,0,0,1,1,1301
51,0,0,2,0,4,0,1,0,4,2,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,2,1,2,0,0,1,0,2,0,1,1,1,1,1,1,0,1,1,1,0,0,0,2,1,1,1301
52,1,0,0,0,2,0,0,0,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1301
