,acier,air,aluminium,ans,anti,appât,batterie,bracelet,cadeaux,camping,caractéristiques,confortable,doux,durable,eau,emballage,enfants,extérieur,facile,hausse,haute,jeu,jouet,jouets,lampe,led,lente,leurres,ligne,longueur,lumière,matériel,paquet,pc,plastique,plein,poche,poids,pouvez,produit,protection,pêche,qualité,sport,stress,super,sécurité,toy,trampoline,utiliser,category_code
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,1,1302
1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4,3,0,0,0,0,1302
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1302
3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,4,0,1302
4,1,0,0,0,0,3,0,0,0,0,1,0,0,1,2,1,0,0,2,0,1,0,0,0,0,0,0,5,1,0,0,0,0,2,2,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,1302
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1302
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1302
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,1302
8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,7,0,0,0,0,0,0,0,2,1302
9,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1302
