,café,canapé,carré,case,chambre,confortable,contenu,coton,couette,coussin,couverture,cycle,decor,différent,décor,décoration,déviation,eau,fermeture,forfait,forme,glissière,home,housse,intérieur,intérieure,javel,lavable,lavage,lin,linge,lit,luminosité,lumière,légèrement,main,maison,manuelle,matériel,mode,noël,oreiller,pc,place,polyester,rideau,sofa,taie,voiture,écran,category_code
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1920
1,0,2,0,0,1,1,0,3,0,5,1,0,0,0,2,0,0,0,1,1,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,4,0,1,0,0,0,3,1,0,1920
2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1920
3,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
4,1,3,0,1,0,0,1,1,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,1920
5,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1920
6,0,2,0,1,0,0,0,2,0,2,0,0,1,2,1,1,0,0,0,1,0,0,2,0,1,1,0,0,0,3,0,1,2,1,1,0,0,1,2,1,2,7,1,0,0,0,1,2,0,1,1920
7,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,1920
8,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2,1,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,3,0,0,1920
9,0,0,0,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1920
10,1,1,1,1,0,0,0,1,0,3,2,1,0,1,0,0,0,2,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,1,1,0,4,1,1,0,0,0,4,0,1,1920
11,0,0,0,0,0,1,0,1,0,3,0,1,0,0,0,1,0,2,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,3,0,0,0,0,0,3,0,0,1920
12,1,0,2,3,0,1,0,1,0,3,2,0,2,1,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,3,1,1,1920
13,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
14,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,2,1,1,0,0,1,2,1,0,7,1,0,0,0,0,3,0,1,1920
15,0,0,0,0,1,0,0,0,6,0,3,1,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,2,0,0,5,0,0,1920
16,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,1,1,0,0,1,2,1,0,2,0,0,0,0,0,2,0,1,1920
17,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,1,0,1,0,0,1,0,0,0,2,0,1,1,0,0,0,1,1920
18,2,3,1,0,1,2,0,1,0,2,0,0,0,1,2,2,0,0,1,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,2,0,1,0,0,3,0,0,0,0,0,5,2,1,1920
19,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,1,1,2,0,0,0,0,2,1,0,1,0,0,3,1,0,0,0,1,1,0,0,1920
