,0,category_code
stylet,8137,50
ergonomique,3003,50
gamepad,3558,50
nintendo,5607,50
wii,9224,50
speedlink,8007,50
pilot,6226,50
touch,8571,50
confort,1803,50
optimal,5872,50
précision,6745,50
maximale,5157,50
hautement,3866,50
seulement,7699,50
parfaitement,6030,50
adapté,130,50
main,4981,50
livré,4839,50
support,8195,50
fixe,3342,50
adhésif,146,50
ref,7090,50
fabricant,3157,50
slbe,7842,50
compatibilité,1701,50
forme,3430,50
particuli,6053,50
rement,7144,50
tenue,8442,50
pointe,6434,50
rev,7294,50
tement,8425,50
longue,4874,50
durée,2634,50
mer,5205,50
écran,9497,50
tactile,8351,50
bonus,991,50
inclu,4101,50
gamepadcontr,3560,50
jeu,4431,50
mobile,5341,50
tir,8516,50
sensible,7653,50
joysticks,4509,50
poignée,6422,50
pubg,6811,50
contr,1923,50
principales,6595,50
prise,6603,50
confortable,1804,50
simplement,7779,50
profiter,6657,50
alimentation,269,50
électrique,9520,50
pilote,6227,50
nécessaire,5751,50
sensibilité,7652,50
retourné,7280,50
téléphone,8785,50
cooling,1993,50
pad,5982,50
ventilateur,8994,50
silencieux,7749,50
puissant,6824,50
donne,2502,50
meilleur,5181,50
équilibre,9569,50
silence,7747,50
performanceno,6154,50
soucier,7944,50
portable,6477,50
surchauffe,8217,50
jeux,4448,50
restez,7262,50
cool,1991,50
doigts,2485,50
fonctionnent,3399,50
vite,9117,50
ennemi,2933,50
donnant,2501,50
meilleure,5182,50
expérience,3132,50
périphériques,6858,50
pris,6602,50
charge,1385,50
compatible,1702,50
différentes,2395,50
tailles,8359,50
téléphones,8787,50
intelligents,4266,50
tels,8424,50
ios,4365,50
samsung,7550,50
lumia,4907,50
huawe,3981,50
nokia,5681,50
htc,3970,50
tant,8378,50
exemple,3102,50
couteaux,2089,50
tirés,8529,50
gles,3710,50
survie,8240,50
fortnite,3443,50
survivor,8244,50
royale,7389,50
ops,5869,50
critiques,2129,50
réglage,7452,50
instruction,4242,50
démarrez,2709,50
appuyez,532,50
bouton,1017,50
param,6018,50
tres,8676,50
control,1936,50
personnaliser,6177,50
déplacer,2727,50
feu,3269,50
sommet,7924,50
coin,1607,50
aim,216,50
régler,7454,50
tournage,8586,50
viser,9090,50
boutons,1020,50
pavé,6092,50
enregistrer,2938,50
redémarrez,7086,50
conseils,1847,50
selon,7643,50
différents,2397,50
mod,5348,50
mobiles,5345,50
circonstances,1516,50
installation,4225,50
terminée,8456,50
devez,2314,50
verrouiller,9015,50
normalement,5699,50
contenu,1910,50
réglerfauteuil,7455,50
bureau,1127,50
gaming,3595,50
swiftsony,8256,50
dualshock,2609,50
fil,3295,50
bluetooth,948,50
sony,7930,50
playstationmanette,6346,50
filaire,3297,50
shockpad,7721,50
ghxef,3690,50
shock,7719,50
gamehoo,3555,50
manette,5018,50
référence,7446,50
connecteur,1818,50
usb,8865,50
made,4947,50
chinavolant,1472,50
officielqkz,5804,50
intraauriculaire,4320,50
universal,8846,50
écouteurs,9495,50
hifi,3909,50
micro,5248,50
features,3236,50
unités,8844,50
coaxiales,1596,50
double,2520,50
cavité,1301,50
résonance,7499,50
helmholtz,3895,50
membrane,5187,50
graph,3758,50
force,3412,50
basse,820,50
choquant,1488,50
conviviale,1988,50
conception,1765,50
ligne,4735,50
mise,5320,50
niveau,5651,50
plugin,6384,50
casque,1272,50
subtilement,8151,50
élargi,9513,50
module,5365,50
mis,5319,50
écouteur,9494,50
cristal,2123,50
résine,7489,50
transparente,8638,50
oxyg,5973,50
pureté,6838,50
argent,553,50
plaqué,6278,50
cuivre,2170,50
broches,1102,50
standard,8055,50
utilisez,8939,50
données,2508,50
scientifiques,7587,50
grandes,3755,50
concevoir,1771,50
port,6473,50
soucisbatterie,7947,50
rechargeable,7033,50
station,8061,50
accueil,72,50
xbox,9315,50
batterie,830,50
one,5827,50
controllerfeatures,1949,50
microsoft,5263,50
controllerpowerful,1958,50
nimh,5602,50
batteryup,844,50
indicateur,4142,50
chargeled,1397,50
lors,4883,50
lorsque,4886,50
chargednot,1392,50
génération,3824,50
controllersthe,1962,50
alimenté,275,50
console,1853,50
devicescapacity,2317,50
mahfully,4974,50
hoursnote,3960,50
liste,4779,50
charging,1419,50
dock,2475,50
ble,912,50
usbsilicone,8895,50
housse,3964,50
protection,6709,50
poké,6445,50
ball,765,50
pokemon,6443,50
lets,4693,50
pikachu,6222,50
evoli,3081,50
accessoires,46,50
silicone,7755,50
couverture,2096,50
boule,1010,50
poke,6440,50
utilise,8936,50
résistance,7490,50
matériau,5110,50
traction,8605,50
tombez,8552,50
hasard,3864,50
table,8337,50
inquiéter,4212,50
couches,2036,50
huile,3987,50
surface,8222,50
sentir,7669,50
peau,6116,50
bébé,1139,50
flambant,3349,50
matériaux,5111,50
souple,7965,50
durabilité,2623,50
prot,6702,50
saleté,7542,50
rayures,7003,50
coussins,2086,50
courts,2081,50
gouttes,3739,50
fournit,3460,50
sensation,7647,50
lecture,4664,50
coffret,1603,50
che,1440,50
jeubo,4432,50
rangement,6961,50
nintendostickers,5640,50
manettes,5029,50
stickers,8083,50
manettesgelshell,5031,50
wand,9191,50
skin,7826,50
vivecommutateur,9123,50
caoutchouc,1195,50
hard,3857,50
shell,7714,50
film,3311,50
trempé,8674,50
caphoeroie,1213,50
commutateur,1678,50
cap,1199,50
nom,5682,50
coque,1998,50
coquille,2002,50
dure,2629,50
bouchon,1004,50
poids,6409,50
ensemble,2946,50
manuelle,5055,50
xxcm,9415,50
matériel,5112,50
abs,17,50
couvercle,2093,50
antirayures,442,50
mainframe,4982,50
tpu,8602,50
antichoc,408,50
adhérence,145,50
défense,2689,50
solide,7911,50
design,2288,50
place,6258,50
set,7693,50
azimuts,737,50
passer,6069,50
xtempered,9409,50
central,1327,50
xsilicone,9406,50
xprotectiveyantos,9401,50
nouveaux,5720,50
chargeur,1412,50
playstation,6326,50
psp,6784,50
pspcontr,6787,50
recharge,7032,50
rapide,6975,50
tenales,8432,50
keten,4544,50
laissez,4604,50
simultanément,7790,50
connecter,1816,50
syst,8307,50
colles,1626,50
antidérapants,418,50
garantir,3625,50
stable,8049,50
emp,2885,50
chent,1444,50
déplacement,2724,50
solidement,7913,50
store,8105,50
ports,6502,50
garder,3633,50
sécurité,8323,50
compl,1714,50
chargée,1426,50
withfor,9287,50
tim,8503,50
sauver,7571,50
stocker,8096,50
jouez,4484,50
tampon,8372,50
enti,2954,50
spécifications,8035,50
tension,8437,50
entrée,2972,50
matérielstickers,5119,50
vinyl,9076,50
imprimé,4079,50
motif,5412,50
motifchargeur,5413,50
secteur,7625,50
dsxl,2604,50
dsi,2576,50
dsicontroller,2580,50
battery,841,50
gboosterchargeur,3652,50
adaptateur,119,50
nin,5603,50
plug,6381,50
percée,6143,50
protocole,6722,50
vitesse,9119,50
fiable,3277,50
pleine,6366,50
courant,2066,50
surtensions,8235,50
température,8430,50
autoblocage,689,50
courtcircuit,2079,50
transporter,8651,50
appui,525,50
sortie,7936,50
hdmi,3876,50
comporte,1727,50
chargement,1398,50
existe,3114,50
délivre,2700,50
insérer,4250,50
mani,5039,50
synchrone,8300,50
image,4039,50
télévision,8794,50
ordinaire,5893,50
supporte,8200,50
charger,1404,50
rapidement,6976,50
switch,8258,50
interface,4285,50
général,3821,50
spécificationstissu,8036,50
nylon,5750,50
voyage,9163,50
mallette,5009,50
transport,8648,50
sac,7522,50
pochette,6401,50
lite,4782,50
tissu,8530,50
étui,9613,50
consolefeatures,1861,50
qualityprotects,6877,50
risques,7337,50
poche,6398,50
stockage,8093,50
carte,1249,50
scratcheslightweight,7599,50
durablehas,2624,50
intérieur,4350,50
tenir,8435,50
cardscompatible,1239,50
litematerial,4792,50
clothpackage,1576,50
affichage,185,50
litemanette,4791,50
play,6306,50
nécessite,5754,50
supplémentaire,8193,50
paramétrage,6022,50
toutes,8594,50
consoles,1876,50
fran,3474,50
aises,235,50
joypad,4505,50
similaire,7773,50
origine,5926,50
joystick,4506,50
analogie,367,50
chette,1451,50
start,8059,50
select,7638,50
rumble,7407,50
pak,5998,50
kit,4571,50
vibration,9044,50
nintendocasque,5613,50
luxe,4918,50
cuir,2167,50
veritable,9008,50
airpods,230,50
sacs,7529,50
apple,482,50
air,221,50
pods,6407,50
boite,972,50
element,2852,50
indique,4148,50
etui,3055,50
ecart,2801,50
differer,2387,50
parametres,6020,50
moniteur,5381,50
differentscache,2358,50
pile,6224,50
violet,9080,50
clear,1551,50
game,3535,50
pocket,6403,50
cache,1152,50
générique,3827,50
pocketautocollants,6404,50
vinyle,9077,50
propos,6690,50
autocollant,690,50
unique,8834,50
illustration,4038,50
imprimée,4081,50
numériquement,5740,50
stratifié,8114,50
finition,3331,50
brillante,1086,50
facilement,3171,50
amovible,343,50
laisser,4602,50
résidu,7486,50
collant,1615,50
protégez,6725,50
quotidien,6913,50
coupe,2053,50
commutateurs,1687,50
faders,3185,50
boutonspsp,1027,50
pspmanette,6791,50
conserve,1848,50
détection,2754,50
ultrasensible,8818,50
sixaxis,7818,50
mouvement,5434,50
chettes,1452,50
analogiques,371,50
autonomie,704,50
vibrationpower,9045,50
disc,2428,50
disney,2438,50
infinity,4175,50
infduct,4171,50
housing,3963,50
fan,3203,50
edf,2819,50
vane,8963,50
prop,6685,50
unit,8841,50
jet,4427,50
airplane,227,50
aircraft,222,50
high,3912,50
material,5099,50
sturdy,8135,50
blade,895,50
quieter,6905,50
duct,2611,50
flying,3384,50
lightweight,4734,50
surge,8225,50
power,6549,50
motor,5418,50
brings,1094,50
remarkable,7135,50
experience,3118,50
specifications,7997,50
plastic,6284,50
color,1631,50
dimension,2403,50
mmdia,5334,50
recommend,7054,50
technical,8398,50
data,2213,50
cellslipo,1318,50
idle,4021,50
current,2176,50
continuous,1920,50
max,5154,50
efficiency,2840,50
internal,4295,50
resistance,7226,50
ohms,5818,50
stator,8067,50
diameter,2339,50
length,4682,50
shaft,7710,50
dia,2334,50
package,5975,50
includes,4105,50
fannintendo,3207,50
socle,7897,50
pink,6234,50
pinksticker,6235,50
slim,7846,50
controller,1944,50
sticker,8081,50
qualityhighest,6874,50
backedeasily,747,50
residuewill,7225,50
griffer,3774,50
fondu,3406,50
peel,6126,50
waterprecision,9202,50
cut,2182,50
curseurs,2178,50
peaustick,6124,50
analogique,368,50
metal,5216,50
aluminium,312,50
manettepower,5028,50
experiences,3119,50
victornintendo,9050,50
olympique,5822,50
marseillestock,5087,50
eva,3070,50
entrep,2965,50
britannique,1098,50
protéger,6723,50
cartes,1254,50
usure,8912,50
quotidienne,6914,50
chocs,1482,50
éraflures,9580,50
dispose,2445,50
espace,3015,50
interne,4299,50
filet,3308,50
fermeture,3262,50
glissi,3717,50
tier,8495,50
détails,2747,50
moulés,5429,50
ranger,6969,50
consolenin,1871,50
allumecigare,293,50
voiture,9135,50
fthoeroie,3507,50
plat,6294,50
antiemm,420,50
lement,4679,50
interrupteur,4311,50
nintedo,5605,50
puissance,6822,50
intégré,4342,50
simple,7777,50
environnement,2984,50
souper,7964,50
facteur,3181,50
compact,1689,50
chaleur,1356,50
surintensités,8228,50
overcharge,5969,50
appareils,471,50
utilisent,8938,50
adaptet,128,50
forfait,3419,50
voitureskylanders,9138,50
plateaux,6297,50
brancher,1060,50
playstationhousse,6339,50
dur,2622,50
pouch,6532,50
nombreuses,5685,50
compris,1741,50
nintendosouris,5637,50
optique,5883,50
ghz,3691,50
souris,7970,50
tablette,8342,50
macbook,4932,50
technologie,8401,50
avancee,713,50
assure,618,50
sensibilite,7651,50
precis,6565,50
large,4630,50
gamme,3602,50
surfaces,8223,50
teste,8459,50
millions,5282,50
termes,8448,50
duree,2630,50
garantit,3628,50
long,4869,50
terme,8447,50
clic,1555,50
silenter,7751,50
concentrer,1762,50
deranger,2279,50
entourage,2957,50
mode,5350,50
fonctionne,3395,50
systemes,8312,50
windows,9277,50
android,382,50
mac,4930,50
code,1598,50
requis,7219,50
connectivite,1827,50
intelligente,4264,50
ordinateurs,5896,50
portables,6481,50
televiseurs,8420,50
dotes,2517,50
instructions,4244,50
details,2305,50
reportez,7202,50
allumez,299,50
situe,7812,50
puis,6819,50
voyant,9167,50
allume,292,50
clignotement,1562,50
doit,2486,50
entrer,2966,50
coupler,2059,50
appareil,468,50
appuyer,531,50
simultanement,7788,50
roue,7375,50
droit,2568,50
relachez,7119,50
bout,1015,50
secondes,7621,50
lumiere,4908,50
bleue,922,50
met,5215,50
clignoter,1564,50
lentement,4686,50
eclair,2806,50
seconde,7620,50
appariement,473,50
dents,2276,50
bleues,923,50
pret,6584,50
recherchez,7047,50
cliquez,1571,50
couplage,2057,50
etablie,3037,50
etre,3054,50
utilisee,8937,50
inserez,4214,50
recepteur,7029,50
ordinateur,5895,50
eteint,3048,50
veuillez,9035,50
dechirer,2236,50
enveloppe,2975,50
plastique,6290,50
attention,659,50
positions,6514,50
positive,6515,50
negative,5548,50
positionnez,6512,50
etes,3049,50
train,8609,50
fonctionner,3400,50
compartiment,1696,50
cable,1144,50
manuel,5052,50
utilisateurbatterie,8919,50
mahaccess,4969,50
line,4747,50
pack,5974,50
nintendowoopso,5646,50
filaireconsole,3298,50
autocollants,696,50
épissage,9564,50
feuilleté,3271,50
interrupteurs,4312,50
spécification,8034,50
matérielvinylemanette,5134,50
hyperkincontr,4001,50
tirer,8520,50
trigger,8689,50
refroidissementhoeroie,7101,50
refroidissement,7099,50
déclencheurs,2661,50
visualisation,9108,50
manipulation,5043,50
permettant,6165,50
longtemps,4873,50
forcer,3415,50
mains,4987,50
poignets,6421,50
conducteur,1782,50
densité,2273,50
alliage,283,50
assurent,619,50
responseyou,7248,50
dépla,2722,50
ant,402,50
cuisson,2169,50
cible,1502,50
bank,785,50
tomber,8551,50
loin,4864,50
moment,5373,50
critique,2128,50
manquer,5047,50
provoque,6733,50
frustrant,3503,50
parfois,6032,50
difficiles,2389,50
jamais,4412,50
anywherebuiltbatterie,459,50
lithium,4804,50
efficace,2835,50
volume,9154,50
électricité,9519,50
jouant,4478,50
phone,6198,50
trescontrolpersonnaliser,8681,50
déplacez,2728,50
lieu,4722,50
contact,1898,50
enregistrez,2940,50
put,6841,50
gamepadbeat,3559,50
réglable,7450,50
concurrence,1776,50
spécialisés,8032,50
yearsall,9427,50
autodéveloppés,697,50
demandé,2261,50
brevet,1078,50
multinationale,5472,50
contrefa,1930,50
pertinente,6188,50
vendeurs,8985,50
doivent,2487,50
assumer,615,50
responsabilité,7246,50
légale,4923,50
soutenus,7979,50
devices,2316,50
knives,4577,50
draging,2539,50
clés,1581,50
refroidissementoreillette,7104,50
piéton,6256,50
licence,4717,50
officielle,5799,50
marseille,5086,50
smartphone,7869,50
oreillette,5904,50
optimisée,5879,50
légere,4925,50
optimalfilm,5874,50
cran,2113,50
verre,9009,50
tremp,8672,50
ultraclair,8811,50
caract,1229,50
ristiques,7340,50
photo,6205,50
alpha,305,50
nex,5590,50
installer,4230,50
coup,2050,50
antibulles,407,50
transparent,8636,50
exclusive,3098,50
festin,3266,50
visuel,9109,50
fabriqu,3161,50
partir,6059,50
mat,5094,50
riaux,7306,50
transmission,8632,50
lumi,4906,50
sup,8175,50
rieur,7314,50
camouflage,1174,50
net,5560,50
liore,4759,50
effet,2833,50
duret,2631,50
protecteur,6706,50
riau,7305,50
apr,533,50
traitement,8611,50
acier,92,50
sistance,7801,50
poussi,6545,50
eau,2796,50
conu,1964,50
cam,1168,50
laisse,4601,50
sensibilit,7650,50
toucher,8578,50
intacte,4255,50
verrez,9010,50
