,collection,eacute,emballage,env,figure,figurine,figurines,funko,haute,licence,marvel,officielle,pop,pvc,qualité,shirt,sous,star,série,wars,category_code
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1140
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1140
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1140
5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
8,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1140
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
13,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1140
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
15,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1140
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1140
23,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1140
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
27,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1140
28,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,2,1,0,0,0,1140
29,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1140
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1140
36,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1140
37,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1140
38,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1140
39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
40,0,0,0,0,0,3,1,1,0,1,0,1,3,0,0,0,1,0,0,0,1140
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1140
44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
45,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1140
46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1140
49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
54,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
56,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1140
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
58,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,2,1,0,0,0,1140
59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140
