,air,auto,bébé,eau,enfant,enfants,lit,main,matériel,mode,mso,poussette,roues,réglable,sac,siège,style,sécurité,type,voyage,category_code
0,2,5,1,0,0,0,0,1,2,0,0,12,14,7,1,5,0,7,0,0,1320
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1320
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
7,1,0,0,0,0,0,0,1,1,2,0,0,0,0,5,0,2,0,1,3,1320
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
9,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1320
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
12,0,0,0,0,0,0,0,3,1,4,0,0,0,0,9,0,3,0,2,1,1320
13,1,1,4,2,0,1,0,0,0,2,0,0,0,0,1,1,1,0,0,0,1320
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1320
16,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
20,0,0,0,0,0,0,0,0,1,4,0,0,0,0,8,0,1,0,2,1,1320
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
22,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
24,0,0,5,0,0,0,0,1,1,1,0,2,0,0,4,0,0,0,1,1,1320
25,0,0,14,0,2,14,0,0,25,0,0,0,0,0,0,12,1,1,0,0,1320
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
27,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
29,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1320
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1320
31,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1320
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1320
33,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1320
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
35,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1320
38,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320
