,canapé,coton,coussin,couverture,décoration,eau,haute,home,housse,lin,matériel,mesure,oreiller,pc,plaît,polyester,qualité,raison,style,taie,category_code
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
1,2,3,5,1,0,0,0,0,0,1,1,1,4,0,1,0,0,3,2,3,1920
2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1920
3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1920
4,3,1,2,2,2,0,1,0,0,1,1,1,1,1,2,0,1,0,0,2,1920
5,0,1,5,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,1,0,1920
6,2,2,2,0,1,0,1,2,0,3,2,2,7,1,1,0,1,0,3,2,1920
7,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,3,1920
8,2,0,1,0,1,2,0,1,0,1,1,1,1,0,1,0,0,3,1,3,1920
9,0,1,4,0,0,0,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1920
10,1,1,3,2,0,2,0,0,0,1,1,0,4,1,1,0,0,0,1,4,1920
11,0,1,3,0,1,2,0,0,0,1,1,1,3,0,1,0,0,3,3,3,1920
12,0,1,3,2,0,0,1,2,0,1,1,0,2,0,2,0,1,2,0,3,1920
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
14,1,0,2,0,2,0,1,0,0,1,2,2,7,1,1,0,1,0,3,3,1920
15,0,0,0,3,0,0,1,0,3,0,1,1,0,0,2,2,1,0,0,5,1920
16,1,0,2,0,2,0,1,0,0,1,2,2,2,0,1,0,1,0,3,2,1920
17,0,1,0,1,2,0,1,1,0,0,1,0,0,2,1,1,1,1,0,0,1920
18,3,1,2,0,2,0,0,2,0,1,1,0,3,0,1,0,0,2,2,5,1920
19,0,0,2,0,0,2,0,0,0,1,1,0,3,1,0,0,0,1,1,1,1920
20,0,0,0,2,0,0,0,1,0,0,1,2,0,0,2,0,0,1,0,0,1920
21,1,1,0,1,1,1,0,0,0,1,0,0,3,1,2,0,0,0,1,3,1920
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
23,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,3,1920
24,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1920
25,1,2,2,0,1,0,1,1,0,1,1,1,2,1,2,0,1,0,0,4,1920
26,2,0,3,0,1,0,1,0,0,0,2,0,4,0,1,0,1,2,0,5,1920
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
28,2,0,2,2,0,0,1,0,0,0,1,1,3,1,2,0,1,0,0,3,1920
29,2,2,2,0,0,2,1,2,0,3,1,0,0,1,1,0,0,0,0,3,1920
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1920
31,0,0,2,1,2,0,0,2,1,0,1,0,2,0,1,4,1,2,1,4,1920
32,2,1,2,2,2,0,1,0,0,1,1,1,4,1,2,0,1,0,0,3,1920
33,2,0,2,0,0,2,0,2,0,1,0,0,1,1,1,2,0,0,0,3,1920
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
35,4,3,4,0,2,0,0,0,1,1,0,1,5,0,1,0,0,3,0,2,1920
36,3,0,2,1,1,0,1,2,1,1,2,2,7,0,1,0,1,0,3,3,1920
37,1,0,2,0,0,0,1,2,0,1,0,1,4,1,2,0,1,0,0,2,1920
38,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1920
39,1,0,2,0,0,0,0,2,0,1,1,1,2,1,2,0,0,0,0,3,1920
40,2,3,5,2,1,0,2,0,3,1,1,0,3,0,0,0,2,0,1,2,1920
41,4,3,5,2,2,0,0,0,0,1,1,1,5,0,1,0,0,3,0,3,1920
42,4,0,2,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1920
43,3,0,4,0,0,0,1,2,0,3,0,1,2,1,2,0,1,0,0,2,1920
44,1,0,2,0,0,0,0,2,0,1,1,1,1,1,2,0,0,0,0,3,1920
45,3,2,5,2,1,0,2,0,2,3,1,0,1,0,0,0,2,0,0,4,1920
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
47,2,3,2,0,1,0,1,1,0,3,1,1,2,1,2,0,1,0,1,2,1920
48,0,0,0,0,0,0,2,0,7,0,1,0,3,0,0,2,1,0,1,3,1920
49,1,0,2,0,0,0,1,2,0,1,0,1,3,1,2,0,1,0,0,2,1920
50,0,3,3,0,0,0,1,0,0,0,3,0,8,4,0,0,0,0,0,0,1920
51,2,0,2,0,0,2,1,2,0,0,1,0,0,0,1,3,1,0,0,3,1920
52,1,1,0,0,3,1,2,1,0,1,0,0,6,1,0,0,2,0,0,3,1920
53,3,0,1,2,1,0,0,1,0,0,1,1,4,1,2,0,0,0,1,4,1920
54,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1920
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
57,0,6,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,1920
58,1,0,2,0,0,0,1,2,0,1,1,1,2,1,2,0,1,0,0,4,1920
59,1,1,2,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,1,0,1920
60,2,0,3,3,1,0,0,0,1,1,1,0,3,1,0,0,1,0,0,6,1920
61,2,0,2,0,0,2,0,2,0,0,1,0,1,1,1,3,0,0,0,3,1920
62,1,2,2,0,0,0,1,0,0,1,0,0,3,0,0,1,1,0,0,1,1920
63,1,3,3,0,0,2,0,2,0,2,1,1,2,0,1,0,0,3,1,1,1920
64,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1920
65,2,0,3,1,1,0,0,0,0,1,0,0,6,1,0,0,1,0,0,6,1920
66,4,0,2,2,3,0,1,0,0,1,0,1,6,1,2,0,1,0,0,4,1920
67,2,0,2,2,1,1,0,0,0,1,1,2,7,1,1,0,0,0,0,2,1920
68,2,0,2,0,1,0,1,1,0,1,0,1,1,1,2,0,1,0,0,3,1920
69,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1920
70,2,0,5,0,0,0,1,2,1,0,1,1,3,1,2,0,1,0,0,1,1920
71,2,0,2,0,1,2,1,2,0,0,2,0,5,0,1,3,1,2,0,6,1920
72,2,0,2,0,0,0,1,2,0,1,0,1,4,1,2,0,1,0,0,3,1920
73,0,0,1,1,1,2,1,2,0,0,2,0,4,0,1,3,1,2,0,7,1920
74,7,1,0,0,0,0,0,0,6,0,1,0,0,0,0,3,0,0,0,0,1920
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
76,0,1,2,0,0,2,0,2,0,3,1,0,4,1,0,0,0,1,1,1,1920
77,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1920
78,0,2,7,0,0,0,1,0,4,0,1,0,0,0,0,2,1,0,0,1,1920
79,2,0,3,0,2,2,0,0,0,2,1,1,1,0,1,0,0,3,1,3,1920
80,0,0,0,3,0,3,0,0,0,0,1,0,0,0,0,4,0,0,1,0,1920
81,0,1,2,0,0,0,0,2,0,1,1,0,3,1,0,0,0,1,1,1,1920
82,3,0,2,0,2,0,0,0,0,1,0,1,2,1,2,0,0,0,1,2,1920
83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1920
84,1,0,2,0,0,0,0,2,0,1,0,1,3,1,2,0,0,0,0,4,1920
85,4,0,2,1,2,0,0,2,2,2,2,6,12,4,3,0,0,0,3,7,1920
86,0,0,2,0,0,0,1,2,0,1,0,1,2,1,2,0,1,0,0,4,1920
87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
88,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1920
89,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920
90,2,3,2,0,1,0,1,1,0,3,1,1,4,1,2,0,1,0,1,2,1920
91,2,3,2,0,1,0,1,1,0,3,1,1,2,1,2,0,1,0,1,2,1920
92,2,0,4,0,1,0,1,2,3,0,2,0,4,0,1,3,1,2,0,2,1920
93,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1920
94,0,0,0,0,1,2,1,0,0,0,0,1,0,0,2,1,1,0,0,0,1920
95,1,2,3,0,1,0,1,2,0,1,2,2,3,0,1,0,1,0,3,1,1920
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1920
