,bricolage,chambre,diamant,décoration,facile,haute,lampe,led,lumière,maison,matériel,mur,noël,pc,peinture,plaît,produit,qualité,résine,toile,category_code
0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,2060
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
2,0,0,0,0,1,1,2,9,4,0,1,0,0,0,0,0,0,1,0,0,2060
3,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2060
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
5,0,3,0,1,1,0,0,0,1,1,1,4,0,0,0,1,0,0,0,0,2060
6,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2060
7,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2060
8,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2060
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
10,0,0,0,1,0,1,0,0,0,1,1,0,9,1,0,0,0,2,0,0,2060
11,5,1,11,2,1,1,0,0,2,0,1,0,0,3,8,1,1,2,5,4,2060
12,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2060
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2060
14,3,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,2060
15,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2060
16,0,0,0,2,0,0,2,3,0,0,0,0,4,1,0,0,0,0,0,0,2060
17,0,0,0,0,1,2,2,12,10,0,1,0,0,0,0,1,0,0,0,0,2060
18,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2060
19,0,0,0,0,2,0,0,12,5,3,0,0,0,0,0,0,0,2,0,0,2060
20,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2060
21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2060
22,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2060
23,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2060
24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2060
25,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2060
26,0,0,0,2,1,1,0,0,0,1,0,4,0,4,1,1,4,1,0,0,2060
27,0,1,0,1,4,0,3,4,6,0,0,0,0,0,0,0,0,3,0,0,2060
28,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2060
29,0,1,0,0,3,0,0,0,2,0,1,0,2,1,0,0,0,1,0,0,2060
30,4,1,11,4,0,0,0,0,1,2,0,0,0,0,4,0,1,0,6,1,2060
31,0,1,0,0,3,0,0,0,2,0,1,0,2,1,0,0,0,1,0,0,2060
32,3,1,11,1,1,1,0,0,2,0,1,0,0,1,7,1,1,1,5,2,2060
33,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,1,0,1,2060
34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2060
35,0,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2060
36,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2060
37,0,1,0,0,2,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,2060
38,0,1,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2060
39,2,1,0,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2060
40,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2060
41,0,0,0,2,0,0,0,4,9,2,1,0,0,0,0,6,0,0,0,0,2060
42,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2060
43,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2060
44,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,2060
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
46,0,0,3,0,0,1,5,5,5,0,1,0,0,0,0,2,0,1,0,0,2060
47,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,2060
48,0,0,0,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2060
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2060
50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2060
51,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,2060
52,0,3,0,2,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,2,2060
53,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2060
54,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2060
55,3,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,1,0,0,2060
56,0,3,0,2,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,2060
57,0,0,0,0,0,2,2,6,3,0,1,0,0,0,0,0,0,0,0,0,2060
58,2,2,0,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2060
59,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2060
60,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2060
61,0,0,0,0,1,1,3,2,3,0,1,0,2,0,0,0,0,1,0,0,2060
62,5,1,11,2,1,1,0,0,2,0,1,0,0,3,8,1,1,2,5,5,2060
63,1,0,0,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2060
64,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2060
65,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,2,0,2060
66,3,0,7,0,2,0,0,0,0,0,0,0,0,0,6,6,2,0,3,3,2060
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
68,0,0,0,0,0,1,0,0,1,0,1,0,5,0,0,1,0,1,0,0,2060
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
70,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2060
71,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2060
72,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2060
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
74,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2060
75,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2060
76,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2060
77,5,1,9,2,1,1,0,0,2,0,1,0,0,3,7,1,1,2,5,5,2060
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
79,1,3,0,0,2,0,0,0,0,2,1,9,0,0,4,2,2,1,0,0,2060
80,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2060
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
82,0,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,1,0,0,2060
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
84,0,2,0,0,10,0,7,9,6,0,0,0,2,0,3,0,0,0,0,0,2060
85,0,2,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,0,2060
86,0,3,0,0,1,1,3,3,1,0,0,4,0,0,0,0,1,0,0,0,2060
87,0,2,0,0,1,1,1,2,3,1,3,0,0,6,0,0,10,3,0,0,2060
88,0,0,0,1,1,0,0,4,4,1,1,0,0,0,0,1,1,0,0,0,2060
89,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2060
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
91,0,0,0,2,2,0,2,2,5,1,0,0,0,0,0,1,1,0,0,0,2060
92,3,2,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,2060
93,0,1,0,2,2,0,0,0,0,2,0,5,0,0,1,3,0,1,0,0,2060
94,5,1,11,2,1,1,0,0,2,0,1,0,0,3,8,1,1,2,5,5,2060
95,0,0,0,3,0,0,0,0,0,0,0,1,5,0,0,2,0,1,0,0,2060
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2060
98,0,0,0,2,0,0,0,3,6,1,1,2,0,0,0,0,0,0,0,0,2060
99,0,1,0,1,0,2,0,0,2,2,1,0,0,1,0,0,1,2,0,0,2060
100,5,1,11,2,1,1,0,0,2,0,1,0,0,0,8,1,1,2,5,4,2060
101,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,2060
102,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,2060
103,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,2060
104,0,0,0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2060
105,0,2,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2060
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2060
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2060
108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2060
109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2060
