,année,bd,collection,editions,histoire,jean,livre,livres,lot,numéros,pages,partitions,piano,revue,revues,romans,tome,tomes,vol,volumes,category_code
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2403
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2403
3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2403
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2403
6,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2403
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2403
10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2403
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2403
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2403
20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
25,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2403
26,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2403
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
30,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2403
31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
34,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
35,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2403
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
38,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2403
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2403
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2403
43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
45,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
46,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2403
48,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2403
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2403
51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2403
53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2403
55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
56,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
57,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2403
58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2403
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2403
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2403
66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
67,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
70,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,2403
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
73,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
74,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2403
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2403
77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2403
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2403
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2403
84,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2403
85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2403
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2403
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2403
89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2403
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
91,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2403
93,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2403
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2403
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2403
