,bloc,cahier,carnet,couverture,design,excellente,facilement,format,haute,jaune,journal,lot,notes,pages,papier,recto,solide,stylo,texture,verso,category_code
0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2522
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2522
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2522
6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2522
8,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
9,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2522
11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2522
12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2522
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2522
16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2522
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2522
21,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
22,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
26,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
27,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2522
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2522
29,1,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
30,1,0,2,2,1,1,1,1,1,1,1,0,2,1,1,1,1,0,1,1,2522
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2522
33,1,1,2,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,1,1,2522
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2522
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2522
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
44,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2522
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2522
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
49,1,0,1,1,1,1,1,1,1,1,0,0,2,1,2,1,1,0,1,1,2522
50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2522
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522
54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2522
55,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2522
