,amd,compatible,connexion,core,directx,disque,espace,geforce,ghz,go,hd,intel,internet,jeu,nvidia,processeur,radeon,requise,système,windows,category_code
0,1,0,2,1,0,0,0,2,1,1,0,2,2,3,2,1,1,2,2,5,2905
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2905
2,2,0,1,1,1,3,3,5,3,5,2,2,1,3,5,1,3,2,3,2,2905
3,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,2,3,2,2905
4,4,2,1,2,2,0,0,2,2,0,0,2,1,2,2,0,1,2,0,2,2905
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
6,0,1,1,0,1,1,0,0,0,0,0,0,1,6,0,0,0,2,0,1,2905
7,2,2,1,2,2,0,0,2,2,0,2,2,3,3,0,0,2,1,0,4,2905
8,0,0,1,2,3,1,0,0,4,0,0,0,1,2,0,1,0,2,2,5,2905
9,5,4,2,2,4,2,2,6,3,0,3,2,4,4,3,2,10,1,3,10,2905
10,1,0,2,2,3,0,2,1,1,4,2,2,1,2,2,2,2,2,2,2,2905
11,1,1,1,2,0,3,1,5,3,4,2,3,4,5,5,1,3,1,3,3,2905
12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2905
14,0,0,1,3,0,0,0,2,1,0,0,1,1,2,0,2,0,2,2,2,2905
15,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,2905
16,2,0,1,1,1,3,3,5,3,5,2,2,1,6,5,1,3,2,3,2,2905
17,1,1,2,0,2,1,1,1,1,3,1,1,2,4,1,2,1,1,1,4,2905
18,0,0,1,2,0,2,2,2,2,5,1,0,1,3,3,2,0,2,2,9,2905
19,0,2,0,2,2,2,2,0,2,4,0,0,1,2,0,2,0,1,3,6,2905
20,0,2,1,0,4,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,2905
