,console,denuméro,game,intégré,jeu,jeux,lecteur,marque,mini,modèle,ouicommunication,ouiecran,poche,portable,pouces,rétro,tactile,tv,vidéo,écran,category_code
0,2,1,0,0,0,4,0,1,1,1,1,1,0,0,0,0,1,1,1,0,60
1,1,0,1,1,3,0,1,1,0,1,0,1,0,2,0,2,1,0,2,1,60
2,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,2,60
3,1,0,0,1,2,1,2,1,1,1,0,1,0,1,0,0,1,0,2,1,60
4,1,0,0,0,3,1,0,1,0,1,0,1,0,2,0,0,1,0,1,1,60
5,1,1,0,0,2,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,60
6,2,0,0,1,3,1,1,1,1,1,0,1,0,0,0,1,1,2,1,1,60
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
8,1,1,0,1,2,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,60
9,1,1,0,0,2,2,0,1,1,1,0,1,0,0,0,0,1,0,2,1,60
10,0,1,1,1,3,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,60
11,1,0,0,1,2,1,1,1,1,1,0,1,1,2,1,1,1,0,0,1,60
12,2,0,0,0,3,0,1,1,2,1,0,1,1,2,0,3,1,0,2,1,60
13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,60
14,1,1,0,0,1,2,0,1,1,1,0,1,0,1,0,1,1,0,1,1,60
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
16,3,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
17,1,1,2,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,2,60
18,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,60
19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
20,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,2,1,1,60
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
22,2,0,2,0,2,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,60
23,2,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,60
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
25,1,1,0,0,3,1,1,1,0,1,1,0,0,2,1,1,1,0,1,2,60
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
27,1,0,0,0,3,0,2,1,0,0,0,1,0,1,1,0,1,0,1,2,60
28,1,0,0,0,2,0,1,1,0,1,0,1,0,1,1,0,1,0,1,2,60
29,1,0,1,1,2,2,1,1,0,1,0,1,1,0,1,0,1,0,1,1,60
30,2,1,0,0,3,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,60
31,0,0,0,0,3,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,60
32,1,0,0,2,2,1,0,1,2,1,0,1,0,2,1,1,1,0,0,1,60
33,3,0,0,1,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,60
34,1,1,0,1,2,1,2,1,0,1,1,0,1,1,1,1,1,0,1,2,60
35,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,60
36,1,0,0,1,2,1,0,1,1,1,1,0,1,0,0,1,1,0,0,2,60
37,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,60
38,2,0,0,1,3,1,1,1,1,1,0,0,0,1,0,1,1,1,2,1,60
39,3,1,5,0,2,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,60
40,2,0,0,0,2,2,0,1,1,1,0,0,0,1,0,0,1,2,1,1,60
41,1,0,0,0,2,1,1,1,0,1,0,1,0,1,2,0,1,0,1,1,60
42,0,1,1,1,2,1,0,1,0,1,0,1,0,1,1,0,1,0,0,2,60
43,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,60
44,1,0,0,0,4,1,1,1,0,1,0,1,1,1,1,0,1,0,1,2,60
45,1,1,0,0,0,3,0,1,0,1,1,0,2,0,0,1,1,0,0,1,60
46,1,0,0,1,2,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,60
47,1,1,1,0,3,1,1,1,0,1,1,0,2,1,1,1,1,0,1,1,60
48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
49,1,1,0,1,3,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,60
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
51,1,0,1,1,2,1,1,1,0,1,0,1,0,2,1,1,1,0,0,1,60
52,2,1,0,0,2,0,0,1,0,1,1,0,2,1,1,2,1,1,2,1,60
